ipc_prefix,company_name,weight,note
C12N,SK바이오사이언스,1.0,백신 CDMO
C12N,HK이노엔,0.9,
C12P,CJ제일제당,1.0,바이오 발효
C12P,삼양홀딩스,0.8,바이오
H02J,한화솔루션,0.7,전력 시스템
H02J,두산퓨얼셀,0.9,연료전지 전력
H02J,LG에너지솔루션,0.8,ESS
H02J,한국전력공사,1.0,전력 인프라
H02J,두산에너빌리티,0.9,발전
F03D,한화솔루션,0.7,풍력
F03D,두산에너빌리티,0.9,풍력
H01L31,한화솔루션,0.9,태양광
B64C,한화에어로스페이스,1.0,항공
B64C,LIG넥스원,0.8,
B64C,한국항공우주산업,1.0,항공
F02C,한화에어로스페이스,1.0,엔진
F02C,두산에너빌리티,0.9,
F41H,LIG넥스원,1.0,방산
F41G,LIG넥스원,1.0,유도무기
F41G,한화에어로스페이스,0.9,방산
B62D,현대자동차,1.0,자동차 조향
B62D,기아,1.0,자동차 조향
B62D,현대모비스,1.0,
B62D,현대위아,0.8,
B60K,현대자동차,1.0,파워트레인
B60K,기아,1.0,파워트레인
B60K,현대모비스,0.9,
B60K,현대위아,0.9,파워트레인
B60K,만도,0.8,
B60K,한온시스템,0.7,
B60W,현대모비스,1.0,전장 제어
B60W,만도,0.9,섀시
F01N,현대자동차,0.9,배기
F01N,기아,0.9,배기
H04W,KT,1.0,통신
H04W,SK텔레콤,1.0,통신
H04W,LG유플러스,1.0,통신
H04W,삼성전자,0.9,5G
H04L,KT,0.9,통신 프로토콜
H04L,SK텔레콤,0.9,
H04L,LG유플러스,0.9,
H04L,NAVER,0.7,
H04L,카카오,0.7,
H04L,NHN,0.8,결제·인증
H04N,LG전자,0.9,영상
H04N,삼성전자,0.9,영상
H04N,LG디스플레이,0.7,
H04R,LG전자,0.8,음향
H04R,삼성전자,0.7,
F25B,LG전자,0.9,냉장·HVAC
F25B,한온시스템,0.9,열관리
F24F,LG전자,0.9,공조
F24F,한온시스템,0.8,
B63B,삼성중공업,1.0,선박
B63B,HD한국조선해양,1.0,선박
B63B,HD현대중공업,1.0,선박
B63B,한화오션,1.0,선박
F17C,HD한국조선해양,0.8,LNG 저장
F17C,한화오션,0.8,LNG 저장
F17C,삼성중공업,0.8,LNG선
F02B,HD현대중공업,1.0,엔진
F02B,두산에너빌리티,0.8,발전
C08F,LG화학,1.0,고분자
C08L,LG화학,1.0,고분자
C08L,한화솔루션,0.9,화학
C09K,LG화학,0.8,화학
C09K,한화솔루션,0.7,화학
C09K,효성첨단소재,0.7,화학
C09J,LG화학,0.8,접착제
C09J,SKC,0.7,
C08J,효성첨단소재,1.0,섬유 가공
D02G,효성첨단소재,1.0,섬유 가공
C03C,한화솔루션,0.7,유리·재료
H01F,LG이노텍,0.7,자기
H01F,삼성전기,0.9,자성부품
H01G,삼성전기,1.0,MLCC
H05K,삼성전기,1.0,PCB·기판
H05K,LG이노텍,1.0,기판
B60C,한국타이어앤테크놀로지,1.0,타이어
B60C,넥센타이어,1.0,타이어
B22D,현대제철,0.9,주조
B22F,현대제철,0.8,
B21D,현대제철,0.8,프레스
C21D,POSCO홀딩스,1.0,철강 처리
C21D,현대제철,1.0,철강 처리
C22C,포스코홀딩스,1.0,철강
C22C,현대제철,1.0,철강
A23L,CJ제일제당,1.0,식품
A23L,오뚜기,1.0,식품
A23L,농심,1.0,라면
A23L,SPC삼립,1.0,베이커리
A21D,SPC삼립,1.0,제빵
A61Q,아모레퍼시픽,1.0,화장품
A61Q,LG생활건강,1.0,화장품
A61Q,코웨이,0.6,
A45D,아모레퍼시픽,0.9,화장품 도구
G05B,LS일렉트릭,0.8,제어
B07C,한국전력공사,0.6,
A47L,코웨이,1.0,청소·정수기
C02F,코웨이,1.0,정수기
C02F,한화솔루션,0.7,수처리
C10G,SK이노베이션,1.0,정유
C10G,S-Oil,1.0,정유
C10G,GS칼텍스,1.0,정유
E04B,현대건설,0.9,건설
E04B,GS건설,0.9,건설
E04B,삼성물산,0.9,건설
G07F,KT,0.7,결제·키오스크
G07F,NAVER,0.7,결제
G07F,NHN,0.9,결제
G06Q,NAVER,1.0,e-커머스
G06Q,카카오,1.0,핀테크
G06Q,NHN,0.9,결제
G06Q,KT,0.8,
G06Q,LG CNS,0.8,SI
G06T,NAVER,0.9,영상 처리
G06T,카카오,0.8,영상
G06T,삼성전자,0.9,영상
G06T,LG전자,0.8,영상
A63F,넷마블,1.0,게임
A63F,엔씨소프트,1.0,게임
A63F,크래프톤,1.0,게임
A63F,컴투스,1.0,게임
